temps,temps_mn, SSIM R,SSIM G,SSIM B,mean SSIM
1232,20.5333333333,86.1359,86.4904,87.2698,86.6320333333
1243,20.7166666667,86.1369,86.4908,87.2709,86.6328666667
1254,20.9,86.136,86.4939,87.2719,86.6339333333
1265,21.0833333333,86.1282,86.4859,87.2651,86.6264
1276,21.2666666667,86.1297,86.4869,87.2676,86.6280666667
1287,21.45,86.1288,86.4889,87.268,86.6285666667
1298,21.6333333333,86.1317,86.4882,87.2678,86.6292333333
1309,21.8166666667,86.1309,86.4916,87.27,86.6308333333
1320,22,86.1328,86.4903,87.2707,86.6312666667
1331,22.1833333333,86.1353,86.4918,87.2726,86.6332333333
1342,22.3666666667,86.1385,86.4913,87.2715,86.6337666667
1353,22.55,86.1351,86.4915,87.2728,86.6331333333
1364,22.7333333333,86.1336,86.4893,87.2719,86.6316
1375,22.9166666667,86.1315,86.4853,87.2655,86.6274333333
1386,23.1,86.1306,86.4853,87.2675,86.6278
1397,23.2833333333,86.1326,86.4873,87.2688,86.6295666667
1408,23.4666666667,86.1364,86.4896,87.2691,86.6317
1419,23.65,86.1381,86.4894,87.2698,86.6324333333
1430,23.8333333333,86.1382,86.487,87.2698,86.6316666667
1441,24.0166666667,86.1405,86.4876,87.2691,86.6324
1452,24.2,86.1388,86.4891,87.2696,86.6325
1463,24.3833333333,86.1409,86.4901,87.2691,86.6333666667
1474,24.5666666667,86.1409,86.4909,87.2703,86.6340333333
1485,24.75,86.142,86.4901,87.27,86.6340333333
1496,24.9333333333,86.1419,86.4906,87.2714,86.6346333333
1540,25.6666666667,86.1472,86.4983,87.275,86.6401666667
1551,25.85,86.151,86.4984,87.2771,86.6421666667
1562,26.0333333333,86.1494,86.4988,87.2775,86.6419
1573,26.2166666667,86.1497,86.4963,87.2756,86.6405333333
1584,26.4,86.1482,86.4957,87.2741,86.6393333333
1595,26.5833333333,86.1463,86.4976,87.2759,86.6399333333
1606,26.7666666667,86.1423,86.4917,87.269,86.6343333333
1617,26.95,86.1415,86.4928,87.2699,86.6347333333
1628,27.1333333333,86.1444,86.4927,87.2702,86.6357666667
1639,27.3166666667,86.1506,86.4951,87.272,86.6392333333
1650,27.5,86.1501,86.4979,87.2743,86.6407666667
1661,27.6833333333,86.1505,86.4991,87.2761,86.6419
1672,27.8666666667,86.1537,86.5002,87.278,86.6439666667
1683,28.05,86.1535,86.4987,87.278,86.6434
1694,28.2333333333,86.1525,86.4992,87.2788,86.6435
1705,28.4166666667,86.1538,86.4994,87.2784,86.6438666667
1738,28.9666666667,86.1545,86.4999,87.28,86.6448
1749,29.15,86.1521,86.4994,87.2788,86.6434333333
1771,29.5166666667,86.1537,86.5029,87.2784,86.645
1782,29.7,86.1553,86.5041,87.2811,86.6468333333
1793,29.8833333333,86.1564,86.5044,87.2833,86.6480333333
1800,30,86.1547,86.5054,87.282,86.6473666667
