Maximum depth,Initial radius,Photons per iteration,Work unit granularity,Russian roulette start depth,Size reduction parameter,Samples per pixel,Effective dimension,filter,filter parameters,PSNR
6,1,500000,1,5,0.7,4,4,gaussian,"0.5",37.4484
6,1,250000,1,5,0.7,4,4,gaussian,"0.5",37.1932
6,1,100000,1,5,0.7,4,4,gaussian,"0.5",36.4115
6,1,50000,1,5,0.7,4,4,gaussian,"0.5",29.3874
6,1,10000,1,5,0.7,4,4,gaussian,"0.5",31.5422
