Maximum depth,Initial radius,Photons per iteration,Work unit granularity,Russian roulette start depth,Size reduction parameter,Samples per pixel,Effective dimension,filter,filter parameters,PSNR
6,1,250000,1,5,0.7,4,1,gaussian,"0.5",37.2106
6,1,250000,1,5,0.7,4,2,gaussian,"0.5",37.263
6,1,250000,1,5,0.7,4,3,gaussian,"0.5",37.1905
6,1,250000,1,5,0.7,4,5,gaussian,"0.5",37.152
6,1,250000,1,5,0.7,4,6,gaussian,"0.5",37.2057
6,1,250000,1,5,0.7,4,7,gaussian,"0.5",37.1283
6,1,250000,1,5,0.7,4,8,gaussian,"0.5",37.1755
6,1,250000,1,5,0.7,4,9,gaussian,"0.5",37.2199
6,1,250000,1,5,0.7,4,10,gaussian,"0.5",37.1731
