Maximum depth,Initial radius,Photons per iteration,Work unit granularity,Russian roulette start depth,Size reduction parameter,Samples per pixel,Effective dimension,filter,filter parameters,PSNR
2,1,250000,5,5,0.7,4,4,gaussian,"0.5",18.4437
3,1,250000,5,5,0.7,4,4,gaussian,"0.5",27.2615
4,1,250000,5,5,0.7,4,4,gaussian,"0.5",31.9158
5,1,250000,5,5,0.7,4,4,gaussian,"0.5",35.3891
7,1,250000,5,5,0.7,4,4,gaussian,"0.5",38.6231
8,1,250000,5,5,0.7,4,4,gaussian,"0.5",39.1831
9,1,250000,5,5,0.7,4,4,gaussian,"0.5",39.509
10,1,250000,5,5,0.7,4,4,gaussian,"0.5",39.6195
